,node_number,edge_number,graph,fw_node_wfs,bw_node_wfs,connected,fw_len,bw_len
216,4,5,"move(1,3). move(1,4). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
217,4,3,"move(1,4). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
218,4,4,"move(1,3). move(1,4). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
219,4,4,"move(1,4). move(2,4). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
220,4,4,"move(1,4). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
221,4,5,"move(1,3). move(1,4). move(2,4). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
222,4,5,"move(1,4). move(2,4). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
223,4,5,"move(1,3). move(1,4). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'draw', 'lost'}",SAT,2,3
224,4,2,"move(2,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",UNSAT,2,2
225,4,6,"move(1,3). move(1,4). move(2,4). move(3,1). move(3,2). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
226,4,3,"move(1,4). move(2,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
227,4,3,"move(2,1). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
228,4,4,"move(1,3). move(1,4). move(2,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
229,4,3,"move(1,3). move(2,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
230,4,4,"move(1,4). move(2,1). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
231,4,4,"move(1,3). move(2,1). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
232,4,3,"move(2,1). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
233,4,5,"move(1,3). move(1,4). move(2,1). move(2,4). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
234,4,4,"move(1,3). move(2,1). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
235,4,4,"move(2,1). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
236,4,4,"move(1,4). move(2,1). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
237,4,5,"move(1,3). move(2,1). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
238,4,5,"move(1,4). move(2,1). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
239,4,6,"move(1,3). move(1,4). move(2,1). move(2,4). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
240,4,5,"move(1,3). move(1,4). move(2,1). move(3,1). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
241,4,3,"move(2,1). move(3,2). move(3,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
242,4,4,"move(1,3). move(2,1). move(3,2). move(3,4).","{'won', 'lost'}",{'draw'},SAT,2,1
